requestTime,userIp,x,y,z
2026-04-07 21:01:16.315186100+00:00,::1,2572,1360,12
2026-04-07 21:01:16.315195800+00:00,::1,2573,1360,12
2026-04-07 21:01:16.315237200+00:00,::1,2572,1361,12
2026-04-07 21:01:16.316763100+00:00,::1,2573,1361,12
2026-04-07 21:01:16.319817600+00:00,::1,2571,1361,12
2026-04-07 21:01:16.320311900+00:00,::1,2571,1360,12
2026-04-07 21:01:16.763552100+00:00,::1,2573,1362,12
2026-04-07 21:01:16.778904400+00:00,::1,2572,1359,12
2026-04-07 21:01:16.786298700+00:00,::1,2570,1360,12
2026-04-07 21:01:16.814648+00:00,::1,2571,1359,12
2026-04-07 21:01:16.817308500+00:00,::1,2571,1362,12
2026-04-07 21:01:17.056493500+00:00,::1,2574,1360,12
2026-04-07 21:01:17.119186300+00:00,::1,2574,1359,12
2026-04-07 21:01:17.165660+00:00,::1,2570,1361,12
2026-04-07 21:01:17.250751400+00:00,::1,2570,1359,12
2026-04-07 21:01:17.368280200+00:00,::1,2569,1361,12
2026-04-07 21:01:17.532192800+00:00,::1,2570,1362,12
2026-04-07 21:01:17.545615200+00:00,::1,5142,2722,13
2026-04-07 21:01:17.545616100+00:00,::1,5141,2723,13
2026-04-07 21:01:17.545617200+00:00,::1,5143,2721,13
2026-04-07 21:01:17.545631300+00:00,::1,5142,2723,13
2026-04-07 21:01:17.545652600+00:00,::1,5145,2724,13
2026-04-07 21:01:17.545654700+00:00,::1,5141,2722,13
2026-04-07 21:01:17.973233800+00:00,::1,5143,2723,13
2026-04-07 21:01:17.986515100+00:00,::1,5146,2724,13
2026-04-07 21:01:18.031341900+00:00,::1,5145,2721,13
2026-04-07 21:01:18.051129500+00:00,::1,5144,2723,13
2026-04-07 21:01:18.427383400+00:00,::1,5142,2724,13
2026-04-07 21:01:18.494951900+00:00,::1,5146,2723,13
2026-04-07 21:01:18.519046600+00:00,::1,5144,2724,13
2026-04-07 21:01:18.586794+00:00,::1,5145,2723,13
2026-04-07 21:01:18.681666900+00:00,::1,5143,2722,13
2026-04-07 21:01:18.718905+00:00,::1,5141,2721,13
2026-04-07 21:01:18.733977200+00:00,::1,5147,2723,13
2026-04-07 21:01:18.761867900+00:00,::1,5145,2722,13
2026-04-07 21:01:18.940350300+00:00,::1,5144,2721,13
2026-04-07 21:01:19.031720500+00:00,::1,5147,2722,13
2026-04-07 21:01:19.036570800+00:00,::1,5142,2721,13
2026-04-07 21:01:19.075828100+00:00,::1,5146,2722,13
2026-04-07 21:01:19.272675100+00:00,::1,5144,2722,13
2026-04-07 21:01:19.316802200+00:00,::1,5143,2724,13
2026-04-07 21:01:19.331666200+00:00,::1,5146,2721,13
2026-04-07 21:01:19.441275300+00:00,::1,5147,2721,13
2026-04-07 21:01:19.531365200+00:00,::1,5141,2724,13
2026-04-07 21:01:19.552915400+00:00,::1,5147,2724,13
2026-04-07 21:01:19.777206900+00:00,::1,5144,2725,13
2026-04-07 21:01:19.777206900+00:00,::1,5145,2725,13
2026-04-07 21:01:19.777230800+00:00,::1,5143,2725,13
2026-04-07 21:01:19.777237500+00:00,::1,5142,2725,13
2026-04-07 21:01:20.007575+00:00,::1,5147,2725,13
2026-04-07 21:01:20.096191700+00:00,::1,5146,2725,13
2026-04-07 21:01:20.100779200+00:00,::1,5141,2725,13
2026-04-07 21:01:20.937138400+00:00,::1,5145,2726,13
2026-04-07 21:01:20.937429500+00:00,::1,5144,2726,13
2026-04-07 21:01:20.937573400+00:00,::1,5146,2726,13
2026-04-07 21:01:20.942210300+00:00,::1,5148,2724,13
2026-04-07 21:01:20.942819500+00:00,::1,5147,2726,13
2026-04-07 21:01:20.942847800+00:00,::1,5143,2726,13
2026-04-07 21:01:21.326396400+00:00,::1,5148,2723,13
2026-04-07 21:01:21.330159600+00:00,::1,5148,2725,13
2026-04-07 21:01:21.416854800+00:00,::1,5142,2726,13
2026-04-07 21:01:21.452097600+00:00,::1,5148,2726,13
2026-04-07 21:01:21.663035900+00:00,::1,5149,2724,13
2026-04-07 21:01:21.663038900+00:00,::1,5149,2725,13
2026-04-07 21:01:21.663040700+00:00,::1,5149,2726,13
2026-04-07 21:01:23.370728400+00:00,::1,10292,5451,14
2026-04-07 21:01:23.370728400+00:00,::1,10291,5450,14
2026-04-07 21:01:23.370728400+00:00,::1,10293,5450,14
2026-04-07 21:01:23.370782300+00:00,::1,10292,5450,14
2026-04-07 21:01:23.374558100+00:00,::1,10293,5451,14
2026-04-07 21:01:23.377006300+00:00,::1,10291,5451,14
2026-04-07 21:01:23.761334900+00:00,::1,10289,5452,14
2026-04-07 21:01:23.772454900+00:00,::1,10290,5452,14
2026-04-07 21:01:23.866412400+00:00,::1,10291,5449,14
2026-04-07 21:01:23.872011400+00:00,::1,10295,5449,14
2026-04-07 21:01:23.949474+00:00,::1,10295,5452,14
2026-04-07 21:01:24.056935300+00:00,::1,10293,5452,14
2026-04-07 21:01:24.063714300+00:00,::1,10290,5451,14
2026-04-07 21:01:24.236637700+00:00,::1,10290,5449,14
2026-04-07 21:01:24.248907600+00:00,::1,10290,5450,14
